id_genero,artista,similar
2,Alexey Kruglov,Алексей Круглов
2,Alexey Kruglov,The Ganelin Trio
2,Alexey Kruglov,Plaistow
2,Charles Mingus,John Coltrane
2,Charles Mingus,Thelonious Monk
2,Charles Mingus,Miles Davis
2,Monika Hoffman,Nannie Porres
2,Monika Hoffman,Carin Lundin
2,Monika Hoffman,Rune Ofwerman Trio
2,Christian Garrick,Laurent Zeller
2,Christian Garrick,Sophy Purnell
2,Christian Garrick,Andrew James Simmons
2,Andreas Tschopp,J.C. Higginbotham (w. Louis Armstrong)
2,Andreas Tschopp,Allen Hermann
2,Andreas Tschopp,yoichi murata
2,Emma Pask,The Idea of North
2,Emma Pask,Katie Noonan
2,Emma Pask,Vince Jones
2,Andrezz,Scott Allen
2,Andrezz,Pennygiles
2,Andrezz,Pouyah
2,Vangelis Katsoulis,Vito Ricci
2,Vangelis Katsoulis,Akis
2,Vangelis Katsoulis,Mkwaju Ensemble
2,Barre Phillips,Bennie Maupin
2,Barre Phillips,Terje Rypdal
2,Barre Phillips,Paul Bley
2,Mari Nakamoto,Ayako Hosokawa
2,Mari Nakamoto,Isao Suzuki Quartet
2,Mari Nakamoto,Tsuyoshi Yamamoto
2,Hubert Deuringer,Heinz Munsonius
2,Hubert Deuringer,Mario Battaini
2,Hubert Deuringer,Will Glahe
2,Marilyn Scott,Jeanie Bryson
2,Marilyn Scott,Eden Atwood
2,Marilyn Scott,Amanda Carr
2,Monika Hoffman,Nannie Porres
2,Monika Hoffman,Carin Lundin
2,Monika Hoffman,Rune Ofwerman Trio
2,Memphis Jazzers,Andy Kirk & His Twelve Clouds of Joys
2,Memphis Jazzers,The Missourians
2,Memphis Jazzers,King Oliver & His Orchestra
2,Kirk Lightsey,Mary Lou Willliams
2,Kirk Lightsey,Armen Donelian
2,Kirk Lightsey,Laszlo Gardony
2,Somewhere Off Jazz Street,Manet
2,Somewhere Off Jazz Street,Lowering
2,Somewhere Off Jazz Street,Swami LatePlate
2,David Hazeltine Trio,Romantic Jazz Trio
2,David Hazeltine Trio,Cedar Walton Trio
2,David Hazeltine Trio,Roma Trio
2,Steiger,SCHNTZL
2,Steiger,MDCIII
2,Steiger,De Beren Gieren
2,Akiko Tsuruga,Tony Monaco
2,Akiko Tsuruga,Deep Blue Organ Trio
