id_genero,artista,similar
4,Wham!,Culture Club
4,Wham!,Paul Young
4,Planet Funk,Kraak & Smaak
4,Planet Funk,Spiller
4,Planet Funk,Bent
4,Jofre Bardagí,Whiskyn's
4,Jofre Bardagí,Gerard Quintana
4,Jofre Bardagí,Adrià Puntí
4,Ezpalak,LiHer
4,Ezpalak,Etxekalte
4,Ezpalak,Gorka Urbizu
4,Liher,Ezpalak
4,Liher,Etxekalte
4,Liher,Lamiak
4,Los Piratas,Iván Ferreiro
4,Los Piratas,Los Planetas
4,Los Piratas,Lori Meyers
4,Sanjosex,Mazoni
4,Sanjosex,Roger Mas
4,Sanjosex,Adrià Puntí
4,Airbag,Bjørn Riis
4,Airbag,RPWL
4,Airbag,The Pineapple Thief
4,Nueva Vulcano,Madee
4,Nueva Vulcano,Half Foot Outside
4,Nueva Vulcano,The Unfinished Sympathy
4,Mentah,nogato
4,Mentah,Jamie 4 President
4,Mentah,Monteperdido
4,Shinova,Supersubmarina
4,Shinova,Vetusta Morla
4,Shinova,Second
4,Mexican Institute Of Sound,Nortec Collective
4,Mexican Institute Of Sound,Kinky
4,Mexican Institute Of Sound,Plastilina Mosh
4,Cobra,Pretty Maids
4,Cobra,King Kobra
4,Cobra,Icon
4,Miss Caffeina,Sidonie
4,Miss Caffeina,Lori Meyers
4,Miss Caffeina,Supersubmarina
4,Fito y Fitipaldis,El Canto del Loco
4,Fito y Fitipaldis,Platero y tú
4,Fito y Fitipaldis,Extremoduro
4,Bestia Bebé,107 Faunos
4,Bestia Bebé,Él mató a un policía motorizado
4,Bestia Bebé,Las Ligas Menores
4,Keu Agirretxea,Izaki Gardenak
4,Keu Agirretxea,Eñaut Elorrieta
4,Keu Agirretxea,Esne Beltza
4,Habi,Lamiak
4,Habi,Ezpalak
4,Habi,LiHer
4,Los Marañones,Josele Santiago y Sus Menudencias
4,Los Marañones,Señor Mostaza
4,Los Marañones,Mucho
4,Cris Juanico,Ja T'ho Diré
4,Cris Juanico,Gerard Quintana
4,Cris Juanico,Plouen Catximbes
4,Elbicho,Mártires Del Compás
4,Elbicho,Canteca De Macao
4,Elbicho,Miguel Campello
4,CLAIM,Kokoshca
4,CLAIM,David Otero
4,CLAIM,BlackPanda
4,El Belda i el Conjunt Badabadoc,Xerramequ Tiquis Miquis
4,El Belda i el Conjunt Badabadoc,Dijous Paella
4,El Belda i el Conjunt Badabadoc,Aramateix
4,Thee Braindrops,Lie Detectors
4,Thee Braindrops,Doctor Explosion
4,Thee Braindrops,The Pleasure Fuckers
4,Triana,Medina Azahara
4,Triana,El Último de la Fila
4,Triana,Derby Motoreta’s Burrito Kachimba
4,Marlon,Fran Perea
4,Marlon,Flynn Bridgewater
4,Marlon,Mellow Strings
4,Joan Miquel Oliver,Antònia Font
4,Joan Miquel Oliver,Sanjosex
4,Joan Miquel Oliver,Mishima
4,Mägo de Oz,Warcry
4,Mägo de Oz,Tierra Santa
4,Mägo de Oz,Saurom
4,Jabier Muguruza,Txuma Murugarren
4,Jabier Muguruza,Anje Duhalde
4,Jabier Muguruza,Tapia eta Leturia
4,Toulouse,Allan Rayman
4,Toulouse,Betty Wright
4,Toulouse,Shungudzo
4,Pastora Soler,Vanesa Martín
4,Pastora Soler,Malú
4,Pastora Soler,Edurne
4,Los Delinqüentes,Estopa
4,Los Delinqüentes,Pereza
4,Los Delinqüentes,La Plazuela
4,Los Secretos,Gabinete Caligari
4,Los Secretos,Antonio Flores
4,Los Secretos,Nacha Pop
4,Jarabe De Palo,Fito Y Fitipaldis
4,Jarabe De Palo,El Canto del Loco
4,Jarabe De Palo,Enanitos Verdes
4,Diego Martín,David DeMaría
4,Diego Martín,Efecto Mariposa
4,Diego Martín,La Caja De Pandora
4,107 Faunos,Bestia Bebé
4,107 Faunos,Él mató a un policía motorizado
4,107 Faunos,Las Ligas Menores
4,Tomeu Penya,Anegats
4,Tomeu Penya,Ossifar
4,Tomeu Penya,Sau
4,El Sueño de Morfeo,Amaral
4,El Sueño de Morfeo,El Canto del Loco
4,El Sueño de Morfeo,Nena Daconte
4,Lynyrd Skynyrd,Molly Hatchet
4,Lynyrd Skynyrd,Blackfoot
4,Lynyrd Skynyrd,The Marshall Tucker Band
4,Carmen 113,Comandante Twin
4,Carmen 113,ELYELLA
4,Carmen 113,Melifluo
4,La Pegatina,Oques Grasses
4,La Pegatina,Los Delinqüentes
4,La Pegatina,Estopa
4,Etxe,Urgabe
4,Etxe,Keike
4,Etxe,Etzakit
4,Txuma Murugarren,Rafa Rueda
4,Txuma Murugarren,Anje Duhalde
4,Txuma Murugarren,Etzakit
4,Javier Ojeda,La Dama Se Esconde
4,Javier Ojeda,Cabaret Pop
4,Javier Ojeda,Pistones
4,Etsaiak,EH Sukarra
4,Etsaiak,Lin Ton Taun
4,Etsaiak,Urtz
4,Izeberg,Su ta gar
4,Izeberg,Zea Mays
4,Izeberg,Etsaiak
4,Brioles,The Nu Niles
4,Brioles,Luna Vegas
4,Brioles,Radium Cats
4,Destino 48,Rulo y la contrabanda
4,Destino 48,Alfredo González
4,Destino 48,Isma Romero
4,Capsula,Dymons
4,Capsula,Hoopy Frood
4,Capsula,Slackbaba
4,Huecco,Alvaro Soler
4,Huecco,Los Aslándticos
4,Huecco,Sofia Reyes
4,Vinicio Capossela,Francesco De Gregori
4,Vinicio Capossela,Fabrizio De André
4,Vinicio Capossela,Mannarino
4,Atencion Tsunami,Incendios
4,Atencion Tsunami,Autumn Comets
