nombre_artista,album,fecha,tipo,track
Jignesh Barot,DJ Maniyaro,2016-08-19,track,Popat Jonine Me To
Pawan Roy,One Two Three Nagpuri,2016-08-10,track,One Two Three Nagpuri
Havinhell,Super Fighter,2016-09-02,track,Ceria Kebersamaan
Jignesh Kaviraj,DJ Dil No Khiladi Part - 3,2016-12-09,track,Mara Mana Ma Aave Ae Vichar
Johnny Jack Mesclado,601,2016-12-08,track,Amaranto
Dj Dirty Fingerz,Hot Balloon,2016-08-25,track,Hot Balloon
Koes Plus,Mustika Keroncong Koes Plus 2.1,2016-02-10,track,Kr. Pertemuan
Montu Moni Saikia,Gagana 2016,2016-01-01,track,Ghunuk Ghanak
Anand Shinde,Hits of Anand Shinde (Dhammal Lokgeete),2016-07-01,track,Phana Kadhun Nagoba Dultoy Ga
Rollies '98,Rollies '98,2016-09-09,track,Rembulan
Hoolahoop,Rectoverso,2016-03-11,track,Rectoverso
Indu Sonali,Deewane (Original Motion Picture Soundtrack),2016-05-29,track,Ae Raja Hokhata Pasina
Jignesh Kaviraj,Radhika,2016-07-15,track,Sona Hidoni Rupa Bedlu
Alka Chandrakar,Maa Ke Nache Langurva,2016-05-11,track,Chal Didi Jabo O
Putri Alin,Kawin Sadarah,2016-04-24,track,Ombak Puruih
Thanchuilu Gangmei,Karam Jian,2016-09-22,track,Swargagee Leinam
Jignesh Barot,DJ Vage Chamundamaane Dham,2016-08-20,track,Chotila Dungaravali
T-Matt,Lelite,2016-08-06,track,Miskina
GEMS CHONGTHAM,Oh Bala Oh Bala,2016-10-23,track,Oh Bala Oh Bala
Gajendra Rana,Dagdiya,2016-03-19,track,Hey Meri Soujaniya Re
Shyam Paliwal,Bhadariya Mata Ke Bhajan,2016-01-29,track,Yaad Karu Jad
Putri Alin,Kawin Sadarah,2016-04-24,track,Tak Mungkin Taulang
Michael Sullivan,"Na Linha do Tempo, Vol. 1",2016-01-26,track,Leva
Jignesh Kaviraj,Radhika,2016-07-15,track,Hari Sang Het Re Gane Ra Nadlal
Jignesh Barot,Radhika,2016-08-17,track,Dhuho
Vreegu Kashyap,Akashitora 2016,2016-01-17,track,Maloteer Jiyek
Kinjal Dave,DJ Laganiya,2016-03-26,track,Mandva Ropavjo Tame Fulada Veravjo
Jignesh Kaviraj,Radhika,2016-07-15,track,Hu To Kagadiya Laki Laki Thaki
Shyam Paliwal,Bhadariya Mata Ke Bhajan,2016-01-29,track,Sadka Sadka Diwaliyo
Jignesh Barot,Radhika,2016-08-17,track,Ubhi Sire Ne Ubhi Bajar
Jignesh Barot,DJ Vage Chamundamaane Dham,2016-08-20,track,Garbe Ramvane Aavo
Udit Narayan,Jhakass Stylebaaz Anil Kapoor,2016-12-10,track,Chalo Chale Mitwa
Jignesh Barot,Radhika,2016-08-17,track,O Rang Rasiya
The Rain,Berkunjung Ke Kotamu,2016-08-10,track,Berkunjung Ke Kotamu
Junior Lacrosse,Finder's Keeper's,2016-06-24,track,Swinging
Lilis Suryani,Kenangan Manis Dari Lilis Suryani Vol. 2,2016-11-25,track,Gelombang Alun
Bonzai,I Feel Alright (Big Freedia Remix),2017-09-15,track,I Feel Alright - Big Freedia Remix
Vesta Lugg,Acoustic Session,2017-06-29,track,Estrellas (Acoustic)
Ayoho,Ikigai,2017-11-03,track,Weirdo
Fus Delei,Ideas Para Un Mundo Imaginario,2017-10-18,track,No Me Dejes Caer en la Cama
Zebra Hunt,In Phrases,2017-05-19,track,Lonely Summer
BoybandPH,Boybandph,2017-02-08,track,Boyfriend - Acoustic Version
El Charrito Negro,Su Dinastía,2017-03-05,track,Por un Poco de Tu Amor
The Cars,Exitos de los 70,2017-08-10,track,Just What I Needed
Duncan Dhu,Canciones de Carretera: Conducir Por España,2017-12-22,track,No debes marchar
Dargen D'Amico,L'altra (Variazione sul tema zucchero luminoso),2017-02-17,track,L'altra - Variazione sul tema zucchero luminoso
Tiziano Ferro,Il Mestiere Della Vita Urban Vs Acoustic,2017-11-10,track,Il Conforto - Urban
Acústicos & Valvulados,Esse Som Me Faz Tão Bem,2017-10-23,track,Nada Nos Prende
Luc Steeno,Onder De Zon,2017-06-05,track,Onder De Zon
Octavio Mesa,Como Dijo Mijo,2017-07-15,track,La Billarista
Franktony,"Álbum de Oro, 100 Super Éxitos - Franktony Internacional",2017-01-23,track,Mi Peor Enemigo
Mah Kouyaté,Simbo,2017-08-03,track,Belé-Belé
Curiosity Killed The Cat,Organic Underground Issue 21,2017-01-20,track,Phuture
Bobby Rydell,Classics by Bobby Rydell,2017-04-24,track,The Cha Cha Cha
