nombre_artista,album,fecha,tipo,track
Edna Vazquez,Bésame Mucho,2020-02-14,track,Bésame Mucho
Melody Gardot,From Paris With Love,2020-06-19,track,From Paris With Love - Single Version
Diana Krall,This Dream Of You,2020-09-25,track,Autumn In New York
Erroll Garner,Gemini (Octave Remastered Series),2020-04-17,track,Misty - Remastered 2020
The Bahama Soul Club,Bohemia After Dawn,2020-07-17,track,Never Roam No More
Pink Martini,The Lemonade Song,2020-08-21,track,The Lemonade Song
Ayọ,Royal,2020-01-31,track,I'm in Love
Melody Gardot,Sunset In The Blue,2020-10-23,track,If You Love Me
Oscar Peterson Trio,Work From Home with Oscar Peterson,2020-04-17,track,Quiet Nights Of Quiet Stars (Corcovado)
Melody Gardot,Sunset In The Blue,2020-10-23,track,From Paris With Love - Single Version
Alan Silvestri,Allied (Music from the Motion Picture),2016-11-18,track,Sing Sing Sing
Parov Stelar,Grandpa's Groove,2016-09-09,track,Grandpa's Groove
GoGo Penguin,Man Made Object (Deluxe),2016-02-05,track,Branches Break
Tony DeSare,Want You (Deluxe Edition),2016-02-26,track,Want You
The Allergies,As We Do Our Thing,2016-05-13,track,Be with You
Boogie Belgique,Volta,2016-09-23,track,Volta
Gregory Porter,Take Me To The Alley,2016-05-06,track,Don't Be A Fool
Magnus Ringblom Quartet,The Gotland Session,2016-06-16,track,Last Ride Home
Ellen Andersson,I'll Be Seeing You,2016-09-16,track,I'll Be Seeing You
Michel Camilo,Spain Forever,2016-10-07,track,Our Spanish Love Song
Gregory Porter,Take Me To The Alley,2016-05-06,track,Don’t Lose Your Steam
Pink Martini,Je dis oui!,2016-11-18,track,Joli garçon
Malene Mortensen,You Belong to Me,2016-08-01,track,Girl from Ipanema
Paula Valls,Black and White,2016-06-10,track,Years
Michael Bublé,Nobody but Me (Deluxe),2016-10-21,track,My Kind of Girl
THE SCHWINGS BAND,The Schwings Band Feat. Migloko,2016-04-13,track,Is This Love
Sant Andreu Jazz Band,Jazzing 6 Vol. 1,2016-05-16,track,Águas De Março
Brad Mehldau Trio,Blues and Ballads,2016-06-03,track,And I Love Her
Gregory Porter,Take Me To The Alley,2016-05-06,track,In Fashion
Kandace Springs,Soul Eyes,2016-06-24,track,Talk To Me
Malene Mortensen,You Belong to Me,2016-08-01,track,The Look of Love
The Bahama Soul Club,Havana ´58,2016-11-11,track,Dizzy´s Bounce
Francesca Gramegna,Nothing Else,2016-03-18,track,Nothing Else to Prove
Julian Lage,Arclight,2016-03-11,track,Nocturne
Ryo Fukui,A Letter from Slowboat,2016-02-17,track,Sonora
Pink Martini,Je dis oui!,2016-11-18,track,The Butterfly Song
Albert Ayler,On Green Dolphin Street,2016-01-18,track,Summertime
Gregory Porter,Take Me To The Alley,2016-05-06,track,Take Me To The Alley
Bria Skonberg,Bria,2016-09-23,track,You're Getting to Be a Habit with Me
Joan Chamorro,Lua Amarela,2016-11-29,track,You´re Driving Me Crazy
Deluxe,Stachelight,2016-01-22,track,Shoes
Gregory Porter,Take Me To The Alley,2016-05-06,track,Holding On
The Bahama Soul Club,Havana ´58,2016-11-11,track,Something Unique
Cookin' On 3 Burners,This Girl (Special Edition),2016-01-07,track,This Girl - Instrumental
Michel Camilo,Spain Forever,2016-10-07,track,Oblivion
Zouzoulectric,The Hopper,2016-04-08,track,Round Around - Club des Belugas Remix
Clem Beatz,"So Cold, so Sweet, so Fair",2016-12-09,track,"So Cold, so Sweet, so Fair"
The Andrews Sisters,"Tanzcafe Arlberg, Vol. 2",2016-01-15,track,Rum & Coca Cola - JoJo Effect Remix
Oakwood Station,Space For Two,2016-09-23,track,Follow the Flow
Tony DeSare,Want You (Deluxe Edition),2016-02-26,track,I Wish You Love
Mop Mop,Lunar Love,2016-05-06,track,Adhara
Enrico Pieranunzi,Ménage à trois,2016-10-21,track,"Sicilyan Dream (D’après Siciliano, BWV. 1031 de Johann Sebastian Bach)"
Denis Solee,Jazz Romance,2016-01-26,track,Strangers In The Night
Laura Fygi,Jazz Love,2016-10-21,track,Like A Star
Pauline Croze,Bossa Nova,2016-04-15,track,La fille d'Ipanema
João Gilberto,Coisa Mais Linda,2016-04-04,track,O Barquinho
Madeleine Peyroux,Secular Hymns,2016-09-16,track,Tango Till They’re Sore
Sílvia Pérez Cruz,En La Imaginación,2016-06-24,track,Debí Llorar
Almost Here,A Moment Ago,2016-03-25,track,For Once
Freddie Hubbard,The Hub of Hubbard,2016-05-13,track,The Things We Did Last Summer
FKJ,French Kiwi Juice,2017-03-03,track,Die with a Smile
Jamiroquai,Automaton,2017-03-31,track,Superfresh
Llorca,The Garden,2017-04-07,track,The Garden
Earl,Tongue Tied,2017-07-28,track,Tongue Tied
Massimo Faraò Trio,50 Trumpet (Smooth Jazz),2017-03-01,track,L'appuntamento
Sarah McKenzie,Paris In The Rain,2017-01-13,track,Tea For Two
Oakwood Station,Around The Corner,2017-09-29,track,Kind of a Miracle
Diana Krall,Turn Up The Quiet,2017-05-05,track,Isn't It Romantic
S-Tone Inc,Onda,2017-11-20,track,Sands of Time
Diana Krall,Turn Up The Quiet,2017-05-05,track,Like Someone In Love
Parov Stelar,The Burning Spider,2017-04-21,track,Everything of My Heart
The Bahama Soul Club,The Havana Remixes,2017-05-12,track,No Words - Suonho Remix
Freiboitar,I Need Your Love,2017-09-08,track,There Must Be Something
Nina Simone,BoJack Horseman (Music from the Netflix Original Series),2017-09-08,track,Stars (Live at Montreux)
Eric Brace,Cartes postales,2017-11-24,track,Petite fleur
Dee Dee Bridgewater,"Memphis ...Yes, I'm Ready",2017-09-15,track,Hound Dog
Toots Thielemans,The Real... Toots Thielemans,2017-03-24,track,Stars Fell On Alabama
Diana Krall,Turn Up The Quiet,2017-05-05,track,I'm Confessin' (That I Love You)
Denise King,Songs with Love,2017-02-01,track,The Girl of Ipanema
Eric Legnini Trio,Ballads,2017-10-26,track,In a Sentimental Mood
Katharine McPhee,I Fall in Love Too Easily,2017-11-17,track,All the Way
Gerardo Frisina,Blue Latin,2017-03-27,track,Blue Latin
Aldo Romano,Mélodies en noir & blanc,2017-09-22,track,Song for Ellis
Llorca,The Garden,2017-04-07,track,Wonderwhy
Diana Krall,Turn Up The Quiet,2017-05-05,track,Sway
Trinity FM,Antz,2017-02-24,track,The Sound of Silence
Sant Andreu Jazz Band,Jazzing 7,2017-09-20,track,Triste
Lyambiko,Love Letters,2017-09-01,track,There Is No Greater Love
Bria Skonberg,With a Twist,2017-05-19,track,Dance Me to the End of Love
WAYNE SNOW,Freedom TV,2017-03-24,track,Red Runner
Seal,Standards (Deluxe),2017-11-10,track,Luck Be A Lady
Akshin Alizadeh,But I Do / Woman,2017-10-06,track,Woman
Zuco Sound,Muddy / Sweet,2017-02-20,track,Building With Sand
The Soultrend Orchestra,84 King Street,2017-11-24,track,Don't You Ever Loose It
Karen Souza,Velvet Vault,2017-11-24,track,I Fall in Love Too Easily
Tom Swoon,Shingaling,2017-06-19,track,Shingaling
Miles Davis,The Only One and Fantastic... Miles Davis (Remastered),2017-08-13,track,My Funny Valentine - Remastered
Lizz Wright,Grace,2017-09-15,track,Seems I’m Never Tired Lovin’ You
Parov Stelar,The Burning Spider,2017-04-21,track,The Burning Spider
Denise King,Songs with Love,2017-02-01,track,Sway
Jamiroquai,Automaton,2017-03-31,track,Hot Property
Tito Puente,2En1,2017-02-17,track,El #100
Denise King,Songs with Love,2017-02-01,track,And I Love Her
Beth Hart,Fire on the Floor (Deluxe Edition),2017-02-03,track,Jazz Man
Parov Stelar,The Burning Spider,2017-04-21,track,Step Two
Alfa Mist,Antiphon,2017-03-03,track,Keep On
Pisk,Minnie the Moocher,2017-06-16,track,Minnie the Moocher
Charles Trenet,Chansons sans époques: 1964 - 1968 (Remasterisé en 2017),2017-10-12,track,Si tu vas à Paris - Remasterisé en 2017
José James,Fifty Shades Darker (Original Motion Picture Soundtrack),2017-02-10,track,They Can’t Take That Away From Me
Bill Charlap Trio,"Uptown, Downtown",2017-09-08,track,Spring Can Really Hang You Up The Most
Benny Goodman,"Collection of the Best Big Bands - Benny Goodman, Vol. 1 (Remastered)",2018-02-04,track,"Sing, Sing, Sing - Remastered"
Kamasi Washington,Heaven and Earth,2018-06-22,track,Street Fighter Mas
Jon Batiste,Hollywood Africans,2018-09-28,track,What A Wonderful World
Sylvia Bennett,C'est Si Bon,2018-10-15,track,La Mer
Emil Brandqvist,Within a Dream,2018-05-04,track,I Miss You
Ida Sand,My Soul Kitchen,2018-10-26,track,I Believe to My Soul
Oakwood Station,For Better Times,2018-04-20,track,For Better Times
Maskarade,Hit the Road Jack (Electro Swing),2018-11-23,track,Hit the Road Jack
Klischée,Bella Ciao,2018-08-03,track,Bella Ciao
Aaron Parks,Little Big,2018-10-19,track,Doors Open
Enrico Pieranunzi,Monsieur Claude (A Travel with Claude Debussy),2018-03-23,track,Passepied nouveau
Kandace Springs,Indigo,2018-09-07,track,Unsophisticated
The Barberettes,Be My Baby,2018-01-16,track,Be My Baby
Adam Hawley,Double Vision,2018-03-23,track,Can You Feel It
Tord Gustavsen Trio,The Other Side,2018-08-31,track,The Other Side
Parov Stelar,Mambo Rap,2018-07-27,track,Mambo Rap
Armando Manzanero,Me Vuelves Loca,2018-04-06,track,Me Vuelves Loca
Hara Noda,Lower East,2018-04-27,track,Seven Falls
Bobo Stenson Trio,Contra La Indecisión,2018-01-19,track,Canción Contra La Indecisión
Trio Elétrico,Echo Parcours,2018-01-12,track,Wandance Paris
Freddy Cole,My Mood Is You,2018-05-15,track,My Mood Is You
Moca,Wroooooooooam,2018-01-19,track,Kippchen
Tony Bennett,Love Is Here To Stay,2018-09-14,track,Nice Work If You Can Get It
Moca,Tempomat,2018-01-26,track,Kleine Träumerei
Tony Bennett,Love Is Here To Stay,2018-09-14,track,Love Is Here To Stay
Leo Sidran,Cool School (The Music of Michael Franks),2018-04-27,track,The Cool School
