nombre_artista,album,fecha,tipo,track
Wolfgang Amadeus Mozart,Música Clásica para Conducir,2017-08-29,track,"Clarinet Concerto in A Major, K. 622: II. Adagio"
Jean Françaix,"Œuvres du 20ème siècle pour trompette, piano et percussions",2017-10-20,track,Sonatine pour trompette et piano: II. Sarabande
Fritz Kreisler,The Paganini of the Domra: (Live),2017-09-15,track,"3 Old Viennese Dances (Arr. for Domra & Piano): No. 1, Liebesfreud [Live]"
Tom Johnson,Tom Johnson: Plucking,2017-10-06,track,Failing
Dimanche FR,A Collection of Classical Baby Prep Music Like Spring,2017-03-03,track,"Symphony No.8 In B Minor, D.759 - II. Andante con moto"
Reinhold Glière,Glière: Piano Music,2017-04-28,track,"12 Sketches, Op. 47: VII. Agitato"
Evan Bogerd,Sint Bavo Haarlem,2017-01-26,track,"Wenn wir in höchsten Nöten sein, BWV 432 - Choral"
Niels Rønsholdt,Niels Rønsholdt: Songs of Doubt,2017-09-01,track,"Songs of Doubt: No. 6, It's Only You"
Ludwig van Beethoven,The Beethoven Violin Sonatas: Live at Library of Congress,2017-03-17,track,"Violin Sonata No. 5 in F Major, Op. 24 ""Spring"": IV. Rondo: Allegro ma non troppo"
Alice Ping Yee Ho,Celebrating Canadian Women!,2017-05-31,track,Suite for Flute and Piano: II. Scherzo
Marcos Antonio Portugal,O amor brazileiro: Modinhas & lundus do Brasil,2017-07-21,track,"Sucede, Marília bela"
Dietrich Buxtehude,"Orgues du Jura Franco-Suisse, Vol. 1",2017-03-17,track,"Durch Adams Fall ist ganz verderbt, BuxWV 183"
Claude Debussy,"Debussy: Choral Works, Vol. 3",2017-12-01,track,"Debussy: 3 Chansons de Charles d'Orléans, L. 99b: III. Yver, vous n'estes qu'un villain (Second Version)"
Koushik Bhattacharjee,Laagi Lagan (Live) [Indian Classical Vocal],2017-01-15,track,"Raga Bhairavi: ""Jete Jete Churi Kore"" In Addha Taal - Live"
Wolfgang Amadeus Mozart,"Pascal String Quartets, Vol. 1: Mozart's String Quartets",2017-07-21,track,"String Quartet No. 12 in B-Flat Major, K. 172: III. Minuet & Trio"
Modest Mussorgsky,"ARSM I, Vol. 10. Mussorgsky",2017-01-01,track,"Khovanshchina: Introduction ""Dawn Over the Moscow River"" (Arr. Nikolai Rimsky-Korsakov)"
João Carlos Martins,"João, o Maestro - Trilha Sonora Original do Filme",2017-07-01,track,"Partita No. 5 In G Major, Bwv 829: I. Praeambulum"
Erik Satie,Satie: Vexations (840 Times),2017-09-15,track,Vexations (performance 675)
Dinos Constantinides,Dinos Constantinides: Operatic Works,2017-08-04,track,"Imitations, LRC 0939"
Giovanni Paisiello,Paisiello: La grotta di Trofonio (Live),2017-01-13,track,"La grotta di Trofonio, Act II: Act II: Eccomi in pianta, tiseco"
Edvard Grieg,Study Music - Classical Music for Thinking and Concentration (The Night Edition),2017-08-25,track,"Lyric Suite, Op. 54: III. Notturno"
Benjamin Britten,"Britten: The Young Person's Guide to the Orchestra, Op. 34 — Ippolitov-Ivanov: Mtsyri, Op. 54",2017-02-03,track,"The Young Person's Guide to the Orchestra, Op. 34: I. Theme. Tutti, Woodwinds, Brass, Strings, Percussion"
João Carlos Martins,"João, o Maestro - Trilha Sonora Original do Filme",2017-07-01,track,Coda do Terceiro Movimento do Concerto No. 1
Johann Sebastian Bach,Bach: Organ Works,2017-08-01,track,"Trio Sonata for Organ in C Major, BWV 529: I. Allegro"
Wolfgang Amadeus Mozart,"Julian Olevsky, Vol. 1: Mozart Complete Works for Violin & Piano",2017-07-21,track,"Violin Sonata No. 33 in E-Flat Major, K. 481: I. Allegro molto"
Dimanche FR,Peace and Rest in Classical Melodies,2017-09-21,track,"Symphony No.2 In D Major, Op.73 - II. Adagio non troppo"
Alfred Schnittke,Confessions of Faith: Choral Concertos by Bortniansky & Schnittke,2017-02-03,track,"Choir Concerto: III. God, Grant Deliverance from Sin"
André-Ernest-Modeste Grétry,Grétry: L'amant jaloux,2017-02-03,track,"Les fausses apparences, Act II: Jamais le cœur de Léonore (Live)"
Francois-Joseph Gossec,"Grétry, Gossec & Giroust: Grands motets pour Louis XVI",2017-08-18,track,Terribilis est locus iste: Beati qui habitant
André Jolivet,Duodecima Live 1982-85,2017-07-10,track,Serenade for 2 Guitars: I. Preludio e Canzona
Gerald Finzi,Masters of Song,2017-11-03,track,"A Young Man's Exhortation, Op. 14: No. 1, A Young Man's Exhortation"
Dimanche FR,Classical Music Collection for a Warm Weather,2017-07-04,track,"Cello Suite No.4 In E Flat Major, BWV.1010 - IV. Sarabande"
