nombre_artista,album,fecha,tipo,track
Jean Sibelius,Sibelius,2017-09-01,track,"6 Impromptus, Op. 5: Impromptu V"
Orquestas canarias,20 Grandes Exitos,2017-11-02,track,Parrandero
Dmitri Shostakovich,Shostakovich: Piano Concertos Nos. 1 & 2 and String Quartet No. 8,2017-01-13,track,"Piano Concerto No. 2 in F Major, Op. 102: II. Andante"
Johannes Brahms,Volodos Plays Brahms,2017-04-07,track,"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major"
Vladimir Cosma,Only Love,2017-11-16,track,Only Love
Paul Marie De Senneville,Ballade pour Adeline,2017-11-10,track,Ballade pour Adeline
Orquestas canarias,20 Grandes Exitos,2017-11-02,track,Te He Prometido
Gabriel Fauré,Sheku Kanneh-Mason,2017-02-10,track,"Après un rêve, Op. 7, No. 1 (Arr. for Cello and Piano)"
Georges Bizet,Bizet: Carmen & L'arlésienne Suites,2017-10-13,track,Carmen Suite No. 1 (Arr. E. Guiraud): IV. Séguedille
Johann Sebastian Bach,Johann Sebastian Bach,2017-02-10,track,"Herz und Mund und Tat und Leben, Cantata BWV 147: Jesu, Joy of Man's Desiring (Arr. Myra Hess for Piano)"
Camille Saint-Saëns,Intuition,2017-11-24,track,Saint-Saëns / Transcr. Vidal: Le carnaval des animaux: XIII. Le cygne
2CELLOS,Let There Be Cello,2018-10-19,track,Vivaldi Storm
Marco Frisina,Salvatore del mondo,2018-10-05,track,Kyrie eleison
Sergei Rachmaninoff,"Rachmaninov: Prelude in G Minor, Op. 23, No. 5 (Live at Philharmonie, Berlin / 2018)",2018-10-26,track,"Prelude in G Minor, Op. 23, No. 5 - Live at Philharmonie, Berlin / 2018"
Illuminine,#2 Reworks,2018-03-16,track,"Dear, Dolores - Rework"
André Rieu,Romantic Moments II,2018-12-07,track,El cóndor pasa
Elsa Muñiz,Memories,2018-11-17,track,Varsovia
Jacob's Piano,Corazón de Niño,2018-08-07,track,Corazón de Niño
Elsa Muñiz,Memories,2018-11-17,track,Esperanza De Papel
Ólafur Arnalds,re:member,2018-08-24,track,ypsilon
Celestial Aeon Project,Nordic Dreams,2018-08-16,track,Woodland Realm
Claude Debussy,Debussy: Arabesque No. 1,2018-09-28,track,"Deux Arabesques, CD. 74: I. Andantino con moto"
Elsa Muñiz,Memories,2018-11-17,track,Presentimiento
Frédéric Schubert,Pop Ballads on Piano,2018-09-11,track,L'autre Valse D'amélie
Leonard Cohen,Inspiration,2018-01-26,track,Hallelujah (Arr. Hodgefor Cello and Strings)
Luke Howard,Open Heart Story,2018-05-25,track,Bear Story II
Ólafur Arnalds,re:member,2018-08-24,track,re:member
André Rieu,Romantic Moments II,2018-12-07,track,Strangers In The Night
Andrea Bocelli,Sì (Deluxe),2018-10-26,track,Ali di Libertà
Max Richter,The Blue Notebooks (15 Years),2018-05-11,track,On the Nature of Daylight (Entropy)
Johann Sebastian Bach,Johann Sebastian Bach,2018-09-07,track,"Prelude in E Minor, BWV 855/I (Arr. Siloti in B Minor)"
Claude Debussy,Claude Debussy,2018-01-12,track,"Suite bergamasque, L. 75: III. Clair de lune"
Peter Gregson,Bach: The Cello Suites - Recomposed by Peter Gregson,2018-10-19,track,1.1 Prelude
Niccolò Paganini,"Paganini: 24 Caprices, Op. 1",2018-01-12,track,"Paganini: 24 Caprices, Op. 1: No. 5 in A Minor"
Armonia Show,Las 20 Mejores Canciones de Verbena Vol. 9,2018-08-17,track,Que No Quede Huella
Peter Gregson,Bach: The Cello Suites - Recomposed by Peter Gregson,2018-10-19,track,6.6 Gigue
Neil Black,"Violin Fantastico, Vol. 1",2018-06-23,track,Vivaldi Invierno
Claude Debussy,Debussy: Claro de luna,2018-03-02,track,Debussy: Claro de luna
Max Richter,The Blue Notebooks (15 Years),2018-05-11,track,On the Nature of Daylight
Johann Sebastian Bach,Johann Sebastian Bach,2018-09-07,track,"Concerto in D Minor, BWV 974: II. Adagio"
André Rieu,Romantic Moments II,2018-12-07,track,Around The World
Howard Shore,"Shore, Ryan, Enya, Ryan: May it be (Arr. M. Sheeran)",2018-12-14,track,May it be (Arr. M. Sheeran)
Johann Sebastian Bach,Johann Sebastian Bach,2018-09-07,track,"Prelude & Fugue in C Minor (Well-Tempered Clavier, Book I, No. 2), BWV 847: I. Prelude"
Federico Albanese,By the Deep Sea,2018-02-23,track,By the Deep Sea
Claude Debussy,Nightfall,2018-08-24,track,"Suite bergamasque, L. 75: III. Clair de lune"
KEYNVOR,Preservation,2018-06-18,track,"Marazion (50.127932, -5.474548)"
Federico Albanese,By the Deep Sea,2018-02-23,track,We Were There
Jacob's Piano,"G Minor Bach (From ""Piano Tiles 2"")",2018-05-16,track,"G Minor Bach (From ""Piano Tiles 2"")"
Francis Lai,Love Story,2018-05-30,track,Love Story
Luke Howard,Open,2018-11-02,track,Open
Joseph Haydn,"Haydn: Piano Sonatas, Vol. 7",2018-07-01,track,"Sonata No. 13, Hob. XVI:6: III. Adagio"
Wolfgang Amadeus Mozart,Piano Magic,2018-09-28,track,"Klavierstück in F Major, K. 33b"
Andrea Bocelli,Sì (Edición Especial En Español),2018-10-26,track,Ven a mi
Ennio Morricone,Cinema,2018-10-12,track,"Gabriel's Oboe (From ""The Mission"")"
Johann Sebastian Bach,J.S. Bach: Violin Concertos Nos. 1 & 2; Partita No. 2,2018-06-08,track,"Violin Concerto No. 1 in A minor, BWV 1041: I. (Allegro moderato)"
Johann Sebastian Bach,Johann Sebastian Bach,2018-09-07,track,"Organ Sonata No. 4, BWV 528: II. Andante [Adagio] (Transcr. by August Stradal)"
Franz Schubert,Schubert: Die Nacht (Arr. for Cello and Guitar by Anja Lechner and Pablo Márquez),2018-10-05,track,"Die Nacht, D. deest (Arr. Lechner/Márquez for Cello & Guitar)"
Michael Forster,Piano Chill,2018-02-23,track,Cornfield Chase - Piano-Cello Version
Johann Sebastian Bach,Six Evolutions - Bach: Cello Suites,2018-08-17,track,"Unaccompanied Cello Suite No. 1 in G major, BWV 1007: I. Prélude"
Claude Debussy,"Debussy: Suite bergamasque, L. 75, 3. Clair de lune",2018-07-27,track,"Suite bergamasque, L. 75: III. Clair de lune"
Antonio Vivaldi,"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156 by F. Christl)",2018-10-26,track,"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156 by F. Christl)"
Samuel Barber,Enchanted Isle,2019-01-18,track,Agnus Dei
James Brown,Pavarotti - The Greatest Hits,2019-06-07,track,It's A Man's World - Live
André Rieu,Happy Days,2019-11-22,track,Second Waltz
Cihat Aşkın,Türk Valsleri,2019-02-15,track,Waltz No.2
Hans Zimmer,The World of Hans Zimmer - A Symphonic Celebration (Live),2019-03-15,track,Inception: Time - Orchestra Version - Live
Max Richter,Voyager - Essential Max Richter,2019-10-04,track,November
Nicholas Britell,Succession: Season 1 (HBO Original Series Soundtrack),2019-08-09,track,Andante in C Minor
Ludovico Einaudi,Seven Days Walking,2019-10-18,track,Low Mist Var. 1 - Day 2
Eric Christian,"Nocturne in D-Flat Major ""Un rêve""",2019-08-30,track,"Nocturne in D-Flat Major ""Un rêve"""
Hania Rani,Esja,2019-04-05,track,Hawaii Oslo
Ludovico Einaudi,Seven Days Walking,2019-10-18,track,Birdsong - Day 2
Shida Shahabi,Shifts,2019-11-08,track,All In Circles
Mr. Ferrando,Little Devils,2019-12-09,track,Little Devils
Mr. Ferrando,Don't Open the Door,2019-12-03,track,Don't Open the Door
George Frideric Handel,"Rinaldo, HWV 7: Lascia ch'io pianga (Arr. for Piano)",2019-10-04,track,"Rinaldo, HWV 7: Lascia ch'io pianga (Arr. for Piano)"
Hans Zimmer,Interstellar Cornfield Chase,2019-11-29,track,Interstellar Cornfield Chase
HAUSER,Swan Lake,2019-10-11,track,Swan Lake
HAUSER,River Flows in You,2019-11-22,track,River Flows in You
Benjamin Gustafsson,"Dear Earth, I'm Lost",2019-09-13,track,"I Thought About Death, About Time"
Ludovico Einaudi,Seven Days Walking (Day 2),2019-04-19,track,Seven Days Walking / Day 2: Birdsong
Max Richter,Mari,2019-06-07,track,Dona Nobis Pacem 2
Coro de Ntra. Sra. del Rocío del Realejo,Un Mismo Camino,2019-09-12,track,Himno del Centenario de Coronación
James Newton Howard,A Hidden Life (Original Motion Picture Soundtrack),2019-12-06,track,A Hidden Life
Ludovico Einaudi,Seven Days Walking (Day 1),2019-03-15,track,Seven Days Walking / Day 1: Low Mist
Hans Zimmer,The World of Hans Zimmer - A Symphonic Celebration (Live),2019-03-15,track,"Gladiator Orchestra Suite: Part 3, Now We Are Free - Live"
Hans Zimmer,The World of Hans Zimmer - A Symphonic Celebration (Live),2019-03-15,track,King Arthur Orchestra Suite - Live
George Frideric Handel,Handel Variations,2019-11-08,track,"Rinaldo, HWV 7: Lascia ch'io pianga (Arr. for Piano)"
Hania Rani,Esja,2019-04-05,track,Eden
Nicholas Britell,Succession: Season 1 (HBO Original Series Soundtrack),2019-08-09,track,Adagio in C Minor
Lola & Hauser,Moonlight Sonata,2019-01-31,track,Moonlight Sonata
Canon en re mayor,Canon en re mayor de Pachelbel,2019-04-17,track,Canon en re mayor de Pachelbel - cuarteto de cuerda
Two Steps from Hell,Dragon,2019-01-18,track,Unbreakable
Lang Lang,"Tiersen: 6 Pieces for Piano, Vol. 2: No. 4, La valse d'Amélie",2019-02-08,track,"6 Pieces for Piano, Vol. 2: No. 4, La Valse d'Amélie"
Juan Lozano,Escribías con el alma,2019-07-10,track,Otro día más
Hania Rani,Esja,2019-04-05,track,Esja
Federico Albanese,The Twelve (Original Motion Picture Soundtrack),2019-05-03,track,The Stars We Follow
J.T. Peterson,Petrichor,2019-03-26,track,Vers L'avant
Max Richter,Voyager - Essential Max Richter,2019-10-04,track,The Departure
Clara Schumann,Romance – The Piano Music of Clara Schumann,2019-07-05,track,"3 Romances, Op. 11: No. 1, Andante"
Oscar Pascasio,Waiting for You (Solo Piano),2019-03-01,track,Waiting for You - Solo Piano
Hania Rani,Esja,2019-04-05,track,Glass
Franz Schubert,"Schubert: Piano Sonata D.959 & Minuets D. 334, D. 335, D. 600",2019-11-01,track,"Minuet in A major, D. 334"
Ludovico Einaudi,Seven Days Walking (Day 1),2019-03-15,track,Seven Days Walking / Day 1: Ascent
Ludwig van Beethoven,"Beethoven: Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",2019-01-18,track,"Für Elise, Bagatelle in A Minor, WoO 59"
Wolfgang Amadeus Mozart,Piano Book (Deluxe Edition),2019-03-29,track,"Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": I. Allegro"
