artista,oyentes,reproducciones
Billy Sharp,23187,95728
Raule,3597,55982
Joost,368214,25509924
Jung Kook,1299143,715716393
32ki,130482,2589458
Fonseca,201537,2793536
Stormy,21215,628367
Luck Ra,106307,2927667
Tyla,1251955,39221697
TINI,368112,17689186
Sabrina Carpenter,2911602,507320095
Fuerza Regida,464830,31687519
Zara Larsson,1727778,50384011
ZICO,616002,16132006
NAYEON,703415,36569456
Kygo,1877456,55955536
Benson Boone,1323406,38178753
Greeicy,116590,1886362
j-hope,916559,628407703
Iuly Neamtu,12164,636860
d4vd,2135147,101766917
ROSÉ,1507774,91120696
beabadoobee,2362617,271871212
Madison Beer,1423584,82234800
Quavo,1190806,27817545
Teddy Swims,1005551,17161902
Felix Jaehn,793291,10421076
aespa,1184039,236034215
Calle 24,166977,4220113
Dua Lipa,3054376,295450130
YEONJUN,201413,8327988
Ginton,26496,90771
NewJeans,1616208,292603894
Mocci,7179,88215
Ha*Ash,147443,3446772
MARLENA,24402,549282
Xavi,273641,6841435
Lewis Capaldi,1430772,48002879
BOYNEXTDOOR,293951,34715934
Alex Warren,730949,18894988
JENNIE,1299833,87417338
MEOVV,231932,7211850
Ariana Grande,4128101,970171869
Juan Freer,12965,96940
Lazaro,14210,134942
7-Toun,2730,29543
Carín León,61234,637679
Gya,10072,193723
DELLAFUENTE,120042,5000052
ENHYPEN,988620,268451519
JADE,539622,17276063
Zouhair Bahaoui,21719,242672
Beéle,167057,3289016
Pepe y Vizio,19452,313090
Benjamin Ingrosso,183337,4889232
Käärijä,284201,11470207
Chuyin,36689,524885
Gabito Ballesteros,109343,4416906
Addison Rae,1179802,75895592
Majestic,500164,3438260
BABYMONSTER,446730,26412920
ian,600717,36333346
Coldplay,8753151,746456437
Kish,24274,153605
Lully Hill,3915,38822
Clave Especial,102939,3175758
MY FIRST STORY,145347,5422805
Demarco Flamenco,19845,142879
ELIKIA,6376,33885
XG,689130,49415446
CA7RIEL & Paco Amoroso,147880,8587701
Love of Lesbian,172822,11158404
Magdalena Bay,1232883,87756868
KALIL,1874,20776
Antoñito Molina,5443,63103
R3HAB,907061,15175659
Marta Santos,16358,200453
Laza Bossa,6363,70445
ZUTOMAYO,301009,14334066
Tzanca Uraganu,21370,1645711
V,829019,644254970
KISS OF LIFE,655356,57044710
Probador,345,2881
Jaziel Avilez,30882,265720
Dutch Melrose,385134,9247647
Music Travel Love,54797,895882
Pinky SD,13804,452654
PEDRO SAMPAIO,457128,19521028
Julieta Venegas,761175,19194584
Manuel Turizo,475208,8739711
Lbenj,6625,90469
Andrei Banuta,2568,28259
Jason Derulo,2943051,56445447
IVE,944539,139700634
