nombre_artista,album,fecha,tipo,track
Blackberry Smoke,Like an Arrow,2016-10-14,track,Sunrise in Texas
Red Sun Rising,Polyester Zeal,2016-10-21,track,Emotionless
Metallica,Hardwired…To Self-Destruct,2016-11-18,track,Murder One
blink-182,California (Deluxe Edition),2016-07-01,track,Misery
The Pineapple Thief,Your Wilderness,2016-08-12,track,No Man's Land
Sixx:A.M.,Prayers for the Blessed,2016-11-18,track,Maybe It's Time
Rio,Lo Peor de Todo (Remasterizado),2016-04-25,track,Televidente
Hilda Lizarazu,Hilda Lizarazu en Vivo (En vivo),2016-11-21,track,Caribe Sur - En vivo
Blackberry Smoke,Like an Arrow,2016-10-14,track,Let It Burn
Joe Bonamassa,Blues Of Desperation,2016-03-25,track,The Valley Runs Low
Vanilla Gorilla,Colour Flow,2016-11-07,track,Tropicana
Throw The Fight,Transmissions,2016-04-08,track,Bury Me Alive
The Fray,Singing Low,2016-09-09,track,Singing Low
The Temperance Movement,White Bear,2016-01-15,track,Battle Lines
The Mystery Lights,The Mystery Lights,2016-06-24,track,Melt
The Boxer Rebellion,Ocean by Ocean,2016-04-29,track,Big Ideas
Margarita Lugue,Los Mejores Éxitos,2016-10-05,track,Falsedad
Adult Books,Running from the Blows,2016-03-04,track,I Don't Think I Can Stay
Planet of Zeus,Loyal to the Pack,2016-05-13,track,Them Nights
The Heavy,Hurt & The Merciless,2016-04-01,track,Turn Up
Metallica,Hardwired…To Self-Destruct,2016-11-18,track,ManUNkind
The Baseballs,Hit Me Baby...,2016-09-09,track,...Baby One More Time
Margarita Lugue,Los Mejores Éxitos,2016-10-05,track,Dile
Airbag,Mentira La Verdad,2016-09-16,track,Apocalipsis Confort
The Animals,60 Hits of the 60s,2016-11-04,track,House of the Rising Sun
Libido,Amar o Matar,2016-01-18,track,Pero Aún Sigo Viéndote
Stardust,Shine,2016-02-29,track,Shine
All Them Witches,Lightning At The Door,2016-01-15,track,Funeral For A Great Drunken Bird
David Bowie,Blackstar,2016-01-08,track,Sue (Or In A Season Of Crime)
Metallica,Hardwired…To Self-Destruct (Deluxe),2016-11-18,track,When A Blind Man Cries
Supersonic Blues Machine,"West Of Flushing, South Of Frisco",2016-02-26,track,Ain't No Love (In The Heart Of The City)
DADAROMA,Stanczyk,2016-06-15,track,Risley Circus
Stardust,Shine,2016-02-29,track,"Live Fast, Go High"
Babasonicos,Desde Adentro - Impuesto de Fe (En Vivo),2016-05-20,track,El Maestro - En Vivo
Rebelution,Falling into Place,2016-06-03,track,Lay My Claim
Red Hot Chili Peppers,The Getaway,2016-06-17,track,This Ticonderoga
The Pineapple Thief,Your Wilderness,2016-08-12,track,The Final Thing on My Mind
Red Hot Chili Peppers,The Getaway,2016-06-17,track,Dreams of a Samurai
Ghost,Meliora (Deluxe Edition),2016-09-16,track,Cirice
Joe Bonamassa,Blues Of Desperation,2016-03-25,track,Mountain Climbing
TK from Ling tosite sigure,Signal,2016-09-07,track,Signal
Ritchie Valens,Pure Rock & Roll,2016-09-23,track,La Bamba
La Beriso,Corazón Duro (feat. Bronco),2017-08-11,track,Corazón Duro (feat. Bronco)
Dropkick Murphys,11 Short Stories of Pain & Glory,2017-01-06,track,You'll Never Walk Alone
Five Finger Death Punch,A Decade Of Destruction,2017-12-01,track,Gone Away
Players,How Long (Has This Been Going On),2017-12-29,track,How Long (Has This Been Going On)
Spacey Jane,Feeding the Family,2017-07-29,track,Feeding the Family
Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,track,Climbing Up the Walls - Remastered
Nacha Pop,Chica de ayer y otras canciones que consiguen que te pueda amar - Colección Definitiva,2017-05-05,track,Lucha De Gigantes
Glare,Into You,2017-04-29,track,Into Me
Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,track,Pearly* - Remastered
Pearl Jam,Let's Play Two (Live / Original Motion Picture Soundtrack),2017-09-29,track,Given To Fly - Live
Queens of the Stone Age,Villains,2017-08-25,track,Domesticated Animals
Dead by April,Worlds Collide,2017-04-07,track,Crying Over You
Roger Waters,Is This The Life We Really Want?,2017-06-02,track,Wait for Her
Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,track,Lucky - Remastered
Dead by April,Worlds Collide,2017-04-07,track,I Can't Breathe
