nombre_artista,album,fecha,tipo,track
BTS,BE,2020-11-20,track,Dynamite
Camilo,Vida de Rico,2020-09-21,track,Vida de Rico
Conan Gray,Kid Krow,2020-03-20,track,Heather
David Bisbal,Si Tú La Quieres,2020-04-02,track,Si Tú La Quieres
BLACKPINK,THE ALBUM,2020-10-02,track,How You Like That
Galvan Real,Amigos,2020-12-07,track,Amigos
C. Tangana,Tú Me Dejaste De Querer,2020-11-05,track,Tú Me Dejaste De Querer
Diego Torres,Color Esperanza 2020,2020-05-18,track,Color Esperanza 2020
Camilo,Por Primera Vez,2020-04-17,track,Favorito
Dua Lipa,Future Nostalgia,2020-03-27,track,Don't Start Now
Camilo,Por Primera Vez,2020-04-17,track,Por Primera Vez
Camilo,Por Primera Vez,2020-04-17,track,Tutu
David Bisbal,En Tus Planes,2020-12-10,track,Si Tú La Quieres
The Weeknd,After Hours (Deluxe),2020-03-20,track,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track
Lady Gaga,Joanne (Deluxe),2016-10-21,track,Perfect Illusion
Pino D'Angiò,...Balla!,2016-01-20,track,Ma quale idea
Cheat Codes,Sex,2016-02-05,track,Sex - Radio Edit
The Last Shadow Puppets,Everything You've Come To Expect (Deluxe Edition),2016-12-02,track,"Sweet Dreams, TN"
Morat,Sobre El Amor Y Sus Efectos Secundarios,2016-06-17,track,Di Que No Te Vas
BTS,The Most Beautiful Moment in Life: Young Forever,2016-05-02,track,Save Me
TWICE,PAGE TWO,2016-04-25,track,CHEER UP
Sin Bandera,Una Última Vez (Delux Edition),2016-06-10,track,En Ésta No
Ariana Grande,Dangerous Woman,2016-04-01,track,Touch It
BTS,The Most Beautiful Moment in Life: Young Forever,2016-05-02,track,House of Cards (Full Length Edition)
Morat,Sobre El Amor Y Sus Efectos Secundarios,2016-06-17,track,Yo Más Te Adoro
Vicente Garcia,A la Mar,2016-08-26,track,Te Soñé - Bonus Track
Rihanna,ANTI (Deluxe),2016-01-28,track,Desperado
Reik,Des/Amor,2016-06-17,track,Voy a Olvidarte
AURORA,All My Demons Greeting Me As A Friend (Deluxe),2016-03-11,track,Through The Eyes Of A Child
Red Velvet,Russian Roulette - The 3rd Mini Album,2016-09-07,track,러시안 룰렛 Russian Roulette
V,"HWARANG, Pt. 2 (Music from the Original TV Series)",2016-12-20,track,It′s Definitely You
BTS,The Most Beautiful Moment in Life: Young Forever,2016-05-02,track,Burning Up (Fire)
Dua Lipa,Blow Your Mind (Mwah),2016-08-26,track,Blow Your Mind (Mwah)
BLACKPINK,SQUARE TWO,2016-11-01,track,STAY
MC Kevinho,Mc Kevinho,2016-09-26,track,Tumbalatum
RY X,Dawn,2016-05-06,track,Howling
David Bisbal,Me Enamoré De Ti,2016-01-29,track,Me Enamoré De Ti
Sia,Spotify Sessions,2016-04-13,track,Chandelier - Live from The Village
Pitingo,"Soul, Bulería y más",2016-05-13,track,A puro dolor
Two Another,Keeping Me Under,2016-02-11,track,Keeping Me Under
Agust D,Agust D,2016-08-16,track,give it to me
Imany,Sous les jupes des filles (Original Motion Picture Soundtrack / Bonus Track Version),2016-04-08,track,Don't Be so Shy - Filatov & Karas Remix
La Húngara,La Niña Bonita XV,2016-12-16,track,Eternamente
Niña Pastori,Esencial Niña Pastori,2016-05-20,track,Cartita de Amor
Charlie Puth,Nine Track Mind,2016-01-29,track,Marvin Gaye (feat. Meghan Trainor)
Vinyl Hotel,Café Acoustic Session (Acoustic Version),2016-02-15,track,Renegades - Acoustic Version
James TW,When You Love Someone (Acoustic),2016-08-19,track,When You Love Someone - Acoustic
Agust D,Agust D,2016-08-16,track,Agust D
Flora Martínez,Flora,2016-09-23,track,The Captain of Her Heart
Sarah Menescal,Consequence of Love,2016-09-02,track,Adventure of a Lifetime
Agust D,Agust D,2016-08-16,track,Intro : DT sugA (Feat. DJ Friz)
Coldplay,Live from Spotify London,2016-12-16,track,Viva La Vida - Live from Spotify London
Imany,The Wrong Kind of War,2016-08-26,track,Don't Be so Shy - Filatov & Karas Remix
Rozalén,Quién Me Ha Visto y Quién Me Ve,2016-09-30,track,Me Arrepiento (feat. Las Migas & El Kanka) - En Directo
India Martinez,Te Cuento un Secreto,2016-10-21,track,Ángel
Drake,Views,2016-05-06,track,Controlla
Parcels,Anotherclock,2016-06-24,track,Anotherclock
Sia,This Is Acting (Deluxe Version),2016-10-21,track,The Greatest (feat. Kendrick Lamar)
Flora Martínez,Flora,2016-09-23,track,Happy
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie) [Remixes],2016-12-09,track,Rockabye (feat. Sean Paul & Anne-Marie) - Thomas Rasmus Chill Mix
Haze,BARR10,2016-02-05,track,Mi gitana (feat. Los Rebujitos)
Los Rebujitos,Tras la Máscara,2016-05-20,track,Por Ti
Los Rebujitos,Tras la Máscara,2016-05-20,track,Y Caíste del Cielo
French 79,Olympic,2016-10-21,track,Lovin' Feeling
Katy Perry,Witness (Deluxe),2017-06-09,track,Bon Appétit
Taylor Swift,reputation,2017-11-10,track,Gorgeous
Dua Lipa,Dua Lipa (Deluxe),2017-06-02,track,Hotter Than Hell
BTS,You Never Walk Alone,2017-02-13,track,Spring Day
Ed Sheeran,Shape of You (Acoustic),2017-02-10,track,Shape of You - Acoustic
BTS,Love Yourself 承 'Her',2017-09-18,track,Pied Piper
Taylor Swift,reputation,2017-11-10,track,King Of My Heart
Ha*Ash,30 de Febrero,2017-12-01,track,No Pasa Nada
Cigarettes After Sex,Cigarettes After Sex,2017-06-09,track,John Wayne
Khalid,American Teen,2017-04-27,track,Young Dumb & Broke
NF,Perception,2017-10-06,track,Let You Down
Lorde,Melodrama,2017-06-16,track,Green Light
Dvicio,Qué Tienes Tú,2017-04-28,track,Casi Humanos
Justin Bieber,Friends (with BloodPop®),2017-08-17,track,Friends (with BloodPop®)
Ed Sheeran,Perfect (Acoustic),2017-11-10,track,Perfect - Acoustic
Taylor Swift,reputation,2017-11-10,track,End Game
JP Cooper,Raised Under Grey Skies (Deluxe),2017-10-06,track,September Song
James Arthur,The Greatest Showman: Reimagined (Deluxe),2017-12-08,track,Rewrite The Stars
Halsey,hopeless fountain kingdom (Deluxe Plus),2017-06-02,track,Bad At Love
Anitta,Vai malandra (feat. Tropkillaz & DJ Yuri Martins),2017-12-18,track,Vai malandra (feat. Tropkillaz & DJ Yuri Martins)
Los Rebujitos,Acércate Lento,2017-05-19,track,Acércate Lento
El Arrebato,Músico De Guardia,2017-04-28,track,Quiero Vida
Antoñito Molina,Déjame que te cuante,2017-02-13,track,No me entretengas
Antoñito Molina,Déjame que te cuante,2017-02-13,track,Ya no más
Galvan Real,Quédate Conmigo,2017-08-09,track,Quédate Conmigo
Fran Ocaña,La Flor Más Bonita,2017-12-01,track,Eres la Flor Más Bonita
Harry Styles,Harry Styles,2017-05-12,track,Sweet Creature
Funambulista,Dual,2017-02-03,track,Ya Verás (with Andrés Suárez)
Taylor Swift,reputation,2017-11-10,track,I Did Something Bad
Demarco Flamenco,Uno,2017-03-03,track,Sin Ti No Vivo
Katy Perry,Witness (Deluxe),2017-06-09,track,Chained To The Rhythm
Taylor Swift,reputation,2017-11-10,track,Dancing With Our Hands Tied
Lana Del Rey,Lust For Life,2017-07-21,track,White Mustang
Bruno Mars,Finesse (Remix) [feat. Cardi B],2017-12-20,track,Finesse - Remix; feat. Cardi B
