artist,bio
Natanael Cano,"From Hermosillo, Sonora. singer-songwriter-producer Natanael Cano know as the pioneer of the highly popular ''Corridos Tumbados'' genre has influences from Ariel Camacho.
Cano reached new heights in 2019 when he collaborated with global Latin superstar Bad Bunny on the 4x latin multi-platinum single ''Soy El Diablo (Remix)''.
In 2020, he became the first Mexican artist to be featured on Apple Music’s ‘Up Next’ series.
His album ''Natakong'' appeared on Rolling Stone's ''The 50 Best Spanish-language Albums of 2022'' list. <a href=""https://www.last.fm/music/Natanael+Cano"">Read more on Last.fm</a>"
Kyle Alessandro," <a href=""https://www.last.fm/music/Kyle+Alessandro"">Read more on Last.fm</a>"
TWICE,"TWICE es un grupo femenino surcoreano formado por JYP Entertainment a través del programa de telerrealidad SIXTEEN en 2015. El grupo está compuesto por nueve miembros: Nayeon, Jeongyeon, Momo, Sana, Jihyo, Mina, Dahyun, Chaeyoung, y Tzuyu. El grupo debutó el 20 de octubre de 2015, con el miniálbum The Story Begins. <a href=""https://www.last.fm/music/TWICE"">Read more on Last.fm</a>"
Chappell Roan,"Kayleigh Rose Amstutz, conocida profesionalmente como Chappell Roan, es una cantante y compositora estadounidense del Medio Oeste. Trabajando con su colaborador Dan Nigro desde hace mucho tiempo, su música está inspirada en el pop sintético de los 80 y los éxitos del pop de principios de los 2000. <a href=""https://www.last.fm/music/Chappell+Roan"">Read more on Last.fm</a>"
Valerieblud," <a href=""https://www.last.fm/music/valerieblud"">Read more on Last.fm</a>"
Douaa Lahyaoui," <a href=""https://www.last.fm/music/Douaa+Lahyaoui"">Read more on Last.fm</a>"
Luis R Conriquez," <a href=""https://www.last.fm/music/Luis+R+Conriquez"">Read more on Last.fm</a>"
Q' Lokura,"Q' Lokura es un grupo de cuarteto de la ciudad de Córdoba, Argentina. Está formado por Nicolás Sattler y Facundo «Chino» Herrera. <a href=""https://www.last.fm/music/Q%27+Lokura"">Read more on Last.fm</a>"
Stray Kids,"Stray Kids (hangul: 스트레이 키즈), es una boy band surcoreana formada por JYP Entertainment a través del reality show del mismo nombre en 2017. Compuesto por ocho miembros: Chan, Lee Know, Changbin, Hyunjin, Han, Felix, Seungmin y I.N. El grupo lanzó un EP de pre-debut en enero de 2018 e hizo su debut el 25 de marzo de 2018. El 1 de agosto de 2018, nombraron su fandom oficial como Stay.
Títulados líderes de la 4ta generación, dejan un impacto en todos sus comebacks. <a href=""https://www.last.fm/music/Stray+Kids"">Read more on Last.fm</a>"
RM,"Kim Nam-joon, más conocido por su nombre artístico RM, es un rapero, compositor y productor surcoreano. Es el líder del grupo BTS. En 2015, lanzó su primer mixtape RM. <a href=""https://www.last.fm/music/RM"">Read more on Last.fm</a>"
Lbenj," <a href=""https://www.last.fm/music/Lbenj"">Read more on Last.fm</a>"
Gabry Ponte,"Gabriele Ponte (o Gabry Ponte) (Nació el 20 de abril de 1973) es un DJ italiano, mejor conocido por haber sido integrante del grupo italiano de dance Eiffel 65. Ponte ha sido involucrado con el Bliss Team, DJ Gundam y Sangwara. Cuando Eiffel 65 subio a la fama al final de los 90's, su estatus de celebridad (o semi-celebridad) fue establecido, y despues produjo el hit italiano ""Geordie"" (Un cover de la cancion del mismo nombre de Fabrizio de Andre) y ""La Danza delle Streghe"". <a href=""https://www.last.fm/music/Gabry+Ponte"">Read more on Last.fm</a>"
Omah Lay,"Stanley Omah Didia, conocido profesionalmente como Omah Lay, es un cantante, productor y compositor nigeriano. Recibió reconocimiento en 2020, tras el lanzamiento de su sencillo ""Bad Influence"". Wikipedia <a href=""https://www.last.fm/music/Omah+Lay"">Read more on Last.fm</a>"
GEMN," <a href=""https://www.last.fm/music/GEMN"">Read more on Last.fm</a>"
Artemas,"24 year-old Artemas, full name Artemas Diamandis, has only been releasing music since late 2020 but is fast developing a distinctive alternative pop sound through his relatable songwriting and captivating melodies. The self-taught multi-instrumentalist and unashamed pop music fan is a student of the YouTube generation of songwriters/producers. Hailing from Oxfordshire, but now based in London, Artemas made the most of being restricted to his bedroom through the pandemic, spending most waking hours during that time honing his studio craft. <a href=""https://www.last.fm/music/Artemas"">Read more on Last.fm</a>"
Olivia Rodrigo,"Olivia Rodrigo (Temecula, 20 de febrero de 2003)1​ es una actriz y cantante estadounidense.​ Es conocida por sus roles como Paige Olvera en la serie de Disney Channel: Bizaardvark y Nini Salazar-Roberts en la serie de Disney+: High School Musical: el musical: la serie. En enero de 2021 publicó su sencillo debut como cantante, ""Drivers License"". <a href=""https://www.last.fm/music/Olivia+Rodrigo"">Read more on Last.fm</a>"
Bossa Nova Covers," <a href=""https://www.last.fm/music/Bossa+Nova+Covers"">Read more on Last.fm</a>"
Ha*Ash,"Hanna y Ashley nacieron en Lake Charles, Louisiana, Estados Unidos. Desde pequeñas sintieron su vocación y amor por la música. Comenzaron a cantar desde temprana edad en una iglesia de su localidad cuando tenían 5 y 6 años respectivamente y no solamente pudieron descubrir que amaban lo que hacían, si no que la misma gente les pedía que cantaran cada vez mas, ya que les gustaban sus voces, esto sirvió como estimulo y apoyo para concentrarse en un nuevo sueño mirando hacia el futuro que era convertirse en cantantes profesionales. <a href=""https://www.last.fm/music/Ha%2AAsh"">Read more on Last.fm</a>"
Coldplay,"Coldplay es una banda británica de estilo Britpop/Rock alternativo. Se formó en 1998, y es conocida por sus letras suaves e introspectivas.

Los miembros de Coldplay se conocieron en la Universidad de Londres en septiembre de 1996. Primero se juntaron Martin y Buckland, y ya para el 8 de enero de 1998, Coldplay completó su formación, al unirse Will Champion. Él sabía tocar el piano, la guitarra y el bajo, y aunque no sabía tocar la batería, aprendió rápidamente. <a href=""https://www.last.fm/music/Coldplay"">Read more on Last.fm</a>"
Kygo,"Kyrre Gørvell-Dahll (Bergen, Noruega, 11 de septiembre de 1991), mejor conocido por su nombre artístico Kygo, es un DJ y productor noruego. En la actualidad ocupa el puesto número 33 en la encuesta realizada en 2015 por la revista DJmag, entrando por primera vez en este top. Es conocido mundialmente gracias a sus dos éxitos: ""Stole the show"" y ""Firestone"" los dos reproducidos más de 300 millones de veces cada uno en Spotify. Kygo ha acumulado más de 100 millones de visitas en su música en Soundcloud y YouTube. <a href=""https://www.last.fm/music/Kygo"">Read more on Last.fm</a>"
JADE,"Jade Amelia Thirlwall (South Shields, Reino Unido; 26 de diciembre de 1992) es una cantante, compositora, bailarina y empresaria británica, conocida por formar parte del grupo británico  Little Mix, Jade saltó a la fama después de ganar la octava temporada del programa de talentos The X Factor. Junto al grupo, Thirlwall vendió alrededor de 60 millones de álbumes y sencillos convirtiéndolas en uno de los grupos femeninos con más ventas de la historia. <a href=""https://www.last.fm/music/Jade"">Read more on Last.fm</a>"
Jason Derulo,"Derülo (21 de septiembre de 1989) nació en Miami, Florida de padres haitianos. Su apellido de nacimiento es Desrouleaux, pero lo ha cambiado para que sea más fácil de pronunciar.

Derülo ha actuado desde los cinco años y escribió su primera canción, ""Crush On You"", a la edad de ocho años. Pasó su juventud en estudios de ópera, teatro y ballet. Asistió a la Dillard Center for the Arts en Fort Lauderdale, Florida y se graduó en la American Musical and Dramatic Academy, de Nueva York. <a href=""https://www.last.fm/music/+noredirect/Jason+Derulo"">Read more on Last.fm</a>"
Billy Sharp," <a href=""https://www.last.fm/music/Billy+Sharp"">Read more on Last.fm</a>"
Quavo,"Quavious Keyate Marshall, conocido artísticamente como Quavo, es un rapero, cantante y compositor estadounidense. Migos se formó en 2008 por Quavo y sus compañeros raperos Takeoff y Offset. Los tres miembros están directamente relacionados y fueron criados juntos por la madre de Quavo. <a href=""https://www.last.fm/music/Quavo"">Read more on Last.fm</a>"
Eminem,"Marshall Bruce Mathers III (St Joseph, Misuri, 17 de octubre de 1972), conocido por su nombre artístico Eminem (estilizado EMINƎM) y también por su álter ego Slim Shady, es un rapero, productor discográfico y actor estadounidense. Su nombre artístico proviene de la unión de las iniciales de Marshall Mathers: M&M («Em and Em», estilizándose como Eminem).

Eminem es el artista con más ventas de la década de 2000 en los Estados Unidos. A lo largo de su carrera <a href=""https://www.last.fm/music/Eminem"">Read more on Last.fm</a>"
Cigarettes After Sex,"Es un grupo de música ambient-pop, shoegaze de Brooklyn, N.Y, dirigido por Greg González. Su primer EP llamado ""I""  fue lanzado en 2012 con el single ""Nothing's gonna hurt you baby""  y el siguiente en 2015 llamado ""II"" con el single ""Affection"".

 <a href=""https://www.last.fm/music/Cigarettes+After+Sex"">Read more on Last.fm</a>"
Fuerza Regida,"Fuerza Regida es un grupo estadounidense de música regional mexicana, formado en 2015 en el estado de California originalmente por Jesús Ortiz Paz, Samuel Jáimez, Khrystian Ramos y José García; y desde 2021 también por Moisés López <a href=""https://www.last.fm/music/Fuerza+Regida"">Read more on Last.fm</a>"
