id_genero,artista,similar
3,Vinicio Capossela,Mannarino
3,Atencion Tsunami,Incendios
3,Atencion Tsunami,Autumn Comets
3,Atencion Tsunami,Modelo de respuesta polar
3,Manta Ray,Surfin' Bichos
3,Manta Ray,Mercromina
3,Manta Ray,Corcobado y Manta Ray
3,Pastor Lopez Y Su Combo,Nelson Henriquez
3,Pastor Lopez Y Su Combo,Armando Hernandez
3,Pastor Lopez Y Su Combo,Los Hispanos
3,José Parra,Pansequito
3,José Parra,Vicente Soto Sordera
3,José Parra,Sonia Miranda
3,Los Flechazos,Cooper
3,Los Flechazos,Brighton 64
3,Los Flechazos,la granja
3,Cristóbal Jiménez,Francisco Montoya
3,Cristóbal Jiménez,Freddy Salcedo
3,Cristóbal Jiménez,Reynaldo Armas
3,Roberto Bueno,Adrian Cabeza
3,Roberto Bueno,Kiko Romero El Grillo
3,Roberto Bueno,El Suso
3,W&W,NWYR
3,W&W,Orjan Nilsen
3,W&W,Ummet Ozcan
3,Terrier,Diamante Negro
3,Terrier,Juventud Juché
3,Terrier,Fuckaine
3,Montse Cortés,La Susi
3,Montse Cortés,Potito
3,Montse Cortés,La Tana
3,Diana Navarro,Pasión Vega
3,Diana Navarro,David DeMaría
3,Diana Navarro,Rocio Jurado
3,Javier Ojeda,La Dama Se Esconde
3,Javier Ojeda,Cabaret Pop
3,Javier Ojeda,Pistones
3,Gorgon City,Duke Dumont
3,Gorgon City,Sonny Fodera
3,Gorgon City,CamelPhat
