artista,biografia
Nyandú,"Nyandú és el nom del projecte musical que Ferran Orriols (Nandu) encapala com a cantant i compositor.
Han guanyat el premi Sona 9 2011. <a href=""https://www.last.fm/music/+noredirect/Nyand%C3%BA"">Read more on Last.fm</a>"
Ochobre," <a href=""https://www.last.fm/music/Ochobre"">Read more on Last.fm</a>"
Koel,"Koel is a Dutch band with a strong reggae influence in their music, although they don't have dreadlocks. They are building up a strong live reputation touring around Holland and even give great shows when it rains. They dress up pretty chic for photo shoots but maintain their streetcred by wearing sneakers.  

 <a href=""https://www.last.fm/music/Koel"">Read more on Last.fm</a>"
Mikel Laboa,"Mikel Laboa was born in Pasaia (Gipuzkoa) in 1934, and spent his childhood in Lekeitio (Bizkaia). He doctored as psychiatrist in Iruña (Nafarroa) and worked for many years as psychiatrist in Donostia (Gipuzkoa). He died after a long disease on 1st of December of 2008.

In 1958 he acted for the first time in public. On that time he was inpired by artists like Atahualpa Yupanqui, Violeta Parra or Tom Waits

During the 60s, together with artists like Benito Lertxundi took part of the cultural collective Ez dok amairu <a href=""https://www.last.fm/music/Mikel+Laboa"">Read more on Last.fm</a>"
Egurra Ta Kitto,"Punk and Ska band formed in 2008 in Azpeitia, Basque Country. the group has recorded five albums and their music is a joyous mix of punk, ska and folk. Letters that oscillate between social demand and pure fun. Some similar bands: The Selecter, The Clash or Red London. <a href=""https://www.last.fm/music/Egurra+ta+Kitto"">Read more on Last.fm</a>"
Lluis Llach,"This is an incorrect tag for Lluís Llach. If this non-artist appears in your charts, do last.fm and yourself a favor. Fix your artist tags.
 <a href=""https://www.last.fm/music/+noredirect/Lluis+Llach"">Read more on Last.fm</a>"
MARLENA,"Marlena is a three piece experimental rock band formed in Portland, Oregon in 2010 that blends post-metal, alternative, and post-rock to form a melancholic, rich sound, sometimes atmoshpheric, sometimes bleak. With introspective, brutally honest vocals, their sound is not easily categorized. Fans of Jesu, Mogwai, Shannon Wright, Neurosis, Cloakroom, Have a Nice Life, Rope Sect, and Planning for Burial may find like sounds in Marlena.  <a href=""https://www.last.fm/music/Marlena"">Read more on Last.fm</a>"
La Trinca,"La Trinca. Music and entertainment group formed by Josep Maria Catalan Mainat, Miquel Angel Pasqual and Toni Cruz. He was one of the musical phenomena known and spectacular in Spain in the 1970's and early 80's, for their particular and original artistic project based on social and political criticism ever since the parody and humor, and bold and crazy performances.

Published 38 LPs between 1969 and 1989, always singing in Catalan, in spite of the difficulties was the Catalan language until 1978, when democracy was restored in Spain. <a href=""https://www.last.fm/music/La+Trinca"">Read more on Last.fm</a>"
Stai Zitto," <a href=""https://www.last.fm/music/Stai+Zitto"">Read more on Last.fm</a>"
Dinamita Pa Los Pollos," <a href=""https://www.last.fm/music/Dinamita+Pa+Los+Pollos"">Read more on Last.fm</a>"
Gotelé,"La semilla de Gotelé fue plantada a mediados del año 2010, cuando cuatro amigos de la infancia se juntaron en torno a la idea de expresar sentimientos y emociones a partir de experiencias cotidianas y, sobre todo, con el objetivo de disfrutar con la música. Desde entonces, su inconformismo y su hambre por alcanzar mayores cimas se ha traducido en una constante evolución en su identidad. Gotelé tiene un estilo directo, sin tapujos: música cantada en castellano, sin un estilo concreto, algo que para ellos es una cuestión de espíritu. <a href=""https://www.last.fm/music/Gotel%C3%A9"">Read more on Last.fm</a>"
Quimi Portet,"Quimi Portet (L'Univers, 1957 or always) is a Balearic International Aster. Although it is claimed that this two-legged and millionaire artist was born in Vic, the truth is that he can born wherever he wants to.  <a href=""https://www.last.fm/music/Quimi+Portet"">Read more on Last.fm</a>"
Tachenko," <a href=""https://www.last.fm/music/Tachenko"">Read more on Last.fm</a>"
Xarim Aresté," <a href=""https://www.last.fm/music/Xarim+Arest%C3%A9"">Read more on Last.fm</a>"
Chelsea Boots," <a href=""https://www.last.fm/music/chelsea+boots"">Read more on Last.fm</a>"
Dakidarria," <a href=""https://www.last.fm/music/+noredirect/Dakidarria"">Read more on Last.fm</a>"
Gimnástica," <a href=""https://www.last.fm/music/Gimn%C3%A1stica"">Read more on Last.fm</a>"
EraBatera," <a href=""https://www.last.fm/music/EraBatera"">Read more on Last.fm</a>"
