artist,bio
Ellen Reid," <a href=""https://www.last.fm/music/Ellen+Reid"">Read more on Last.fm</a>"
Chad Lawson,"Web  Oficial: http://www.chadlawson.com
Myspace  Oficial: http://www.myspace.com/nyckeys
Facebook Oficial: http://www.facebook.com/pages/Chad-Lawson/95875919106

Chad Lawson es casi el polo opuesto de cada solista de piano que hay por ahí. Él ha recorrido el mundo con Julio Iglesias, es un artista oficial Kawai, ha sido nominado por ""Whisperings Solo Piano Radio"" a ""Album del Año 2009"" y ha anotado varias películas. Su película más reciente es Doughboys, con Louis Lombardi (Los Soprano, 'Edgar' de 24) y Vincent Pastore (Los Soprano). <a href=""https://www.last.fm/music/Chad+Lawson"">Read more on Last.fm</a>"
Plínio Fernandes," <a href=""https://www.last.fm/music/Pl%C3%ADnio+Fernandes"">Read more on Last.fm</a>"
André Rieu,"André Rieu nació el 01 de octubre de 1949 en Maastricht (Holanda). Comienza el aprendizaje del violín a la edad de cinco años y muestra un potencial enorme en la práctica de este instrumento. En 1967 sigue su formación musical al violín en el Conservatorio de Música de Maastricht hasta en 1973, luego de 1974 a 1977 al de Bruselas.
Inició su carrera musical siendo niño y perteneció a diversas orquestas hasta que en 1987 fundó la suya propia <a href=""https://www.last.fm/music/+noredirect/Andr%C3%A9+Rieu"">Read more on Last.fm</a>"
Rafael Krux," <a href=""https://www.last.fm/music/Rafael+Krux"">Read more on Last.fm</a>"
Gabriel Albuquerqüe," <a href=""https://www.last.fm/music/Gabriel+Albuquerq%C3%BCe"">Read more on Last.fm</a>"
Rebecca Dale," <a href=""https://www.last.fm/music/Rebecca+Dale"">Read more on Last.fm</a>"
Patrick Watson,"Pianista canadiense afincado en Montreal que lidera un cuarteto de art-rock bajo su propio nombre y que gracias al éxito obtenido en su país natal, consiguió ser disco de oro y alcanzar premios y nominaciones en los premios de la industria local, con su álbum “Close To Paradise” ha conseguido dar el salto al charco.

La vida de Patrick siempre ha sido siempre musical. Estudió piano clásico desde los 7 años y comenzó a tocar en pequeñas iglesias de oeste de Montreal con Debussy y Satie como referencias. <a href=""https://www.last.fm/music/Patrick+Watson"">Read more on Last.fm</a>"
Claude Debussy,"Claude Debussy (Saint-Germain-en-Laye, Francia, 22 de agosto de 1862 - París, 25 de marzo de 1918) fue un compositor francés.

Era hijo de Manuel Aquiles Debussy y Victorina Maunourny. Su padre trabajó en el servicio de víveres de la alcaldía y fue luego escribiente en la compañía Fives-Lille de París. Llegó a capitán de la guardia nacional al servicio de la Comuna y fue condenado por ello a cuatro años de prisión, de los que cumplió el primero. <a href=""https://www.last.fm/music/Claude+Debussy"">Read more on Last.fm</a>"
Christian Badzura," <a href=""https://www.last.fm/music/Christian+Badzura"">Read more on Last.fm</a>"
Judah Earl," <a href=""https://www.last.fm/music/Judah+Earl"">Read more on Last.fm</a>"
requiem for you," <a href=""https://www.last.fm/music/Requiem+for+You"">Read more on Last.fm</a>"
